,0
FROST_DAYS,Frost Days
GLOBAL_ILLUMINANCE,Global Illuminance
HDD0,Heating Degree Days Below 0 C
HDD10,Heating Degree Days Below 10 C
HDD18_3,Heating Degree Days Below 18.3 C
FRSEAICE,Ice Covered Fraction
FRSNO,Land Snowcover Fraction
MAX_EQUIV_NO_SUN_DEFICIT,Maximum Equivalent No-Sun Days Deficit
SG_HRZ_MAX,Maximum Solar Angle Relative To The Horizon for Climatological Month
MIDDAY_INSOL,Midday Insolation Incident
MIDDAY_INSOL_MAX,Midday Insolation Incident Maximum
MIDDAY_INSOL_MIN,Midday Insolation Incident Minimum
MIDDAY_INSOL_SD,Midday Insolation Incident Standard Deviation
INSOL_CONSEC_01_MIN,Minimum Insolation Over A Consecutive 1-day Period
INSOL_CONSEC_14_MIN,Minimum Insolation Over A Consecutive 14-day Period
INSOL_CONSEC_21_MIN,Minimum Insolation Over A Consecutive 21-day Period
INSOL_CONSEC_03_MIN,Minimum Insolation Over A Consecutive 3-day Period
INSOL_CONSEC_07_MIN,Minimum Insolation Over A Consecutive 7-day Period
INSOL_CONSEC_MONTH_MIN,Minimum Insolation Over A Month Period
V10M,Northward Wind at 10 Meters
V2M,Northward Wind at 2 Meters
V50M,Northward Wind at 50 Meters
PBLTOP,Planetary Boundary Layer Top Pressure
PW,Precipitable Water
PRECTOTCORR,Precipitation Corrected
PRECTOTCORR_SUM,Precipitation Corrected Sum
GWETPROF,Profile Soil Moisture
RH2M,Relative Humidity at 2 Meters
GWETROOT,Root Zone Soil Wetness
SLP,Sea Level Pressure
SNODP,Snow Depth
PRECSNO,Snow Precipitation
PRECSNOLAND,Snow Precipitation Land
PRECSNOLAND_SUM,Snow Precipitation Land Sum
SG_SAA,Solar Azimuth Angle
SG_NOON,Solar Geometry Based Noon
SG_DAY_HOURS,Solar Geometry Day Hours
SOLAR_DEFICITS_BLW_CONSEC_01,Solar Irradiance Deficit Over A Consecutive 1-day Period
SOLAR_DEFICITS_BLW_CONSEC_14,Solar Irradiance Deficit Over A Consecutive 14-day Period
SOLAR_DEFICITS_BLW_CONSEC_21,Solar Irradiance Deficit Over A Consecutive 21-day Period
SOLAR_DEFICITS_BLW_CONSEC_03,Solar Irradiance Deficit Over A Consecutive 3-day Period
SOLAR_DEFICITS_BLW_CONSEC_07,Solar Irradiance Deficit Over A Consecutive 7-day Period
SOLAR_DEFICITS_BLW_CONSEC_MONTH,Solar Irradiance Deficit Over A Month Period
SI_EF_TILTED_SURFACE_OPTIMAL,Solar Irradiance Optimal
SI_EF_TILTED_SURFACE_OPTIMAL_ANG,Solar Irradiance Optimal Angle
SI_EF_TILTED_SURFACE_OPTIMAL_ANG_ORT,Solar Irradiance Tilted Surface Orientation
SI_EF_TILTED_SURFACE_HORIZONTAL,Solar Irradiance for Equator Facing Horizontal Surface
SI_EF_TILTED_SURFACE_LAT_MINUS15,Solar Irradiance for Equator Facing Latitude Minus 15 Tilt
SI_EF_TILTED_SURFACE_LAT_PLUS15,Solar Irradiance for Equator Facing Latitude Plus 15 Tilt
SI_EF_TILTED_SURFACE_LATITUDE,Solar Irradiance for Equator Facing Latitude Tilt
SI_EF_TILTED_SURFACE,Solar Irradiance for Equator Facing Tilted Surfaces (Set of Surfaces)
SI_EF_TILTED_SURFACE_VERTICAL,Solar Irradiance for Equator Facing Vertical Surface
SZA,Solar Zenith Angle
SG_SZA,Solar Zenith Angle
QV10M,Specific Humidity at 10 Meters
QV2M,Specific Humidity at 2 Meters
RHOA,Surface Air Density
SRF_ALB_ADJ,Surface Albedo Adjusted
PS,Surface Pressure
Z0M,Surface Roughness
GWETTOP,Surface Soil Wetness
INSOL_CONSEC_01,Surplus Insolation Over A Consecutive 1-day Period
INSOL_CONSEC_14,Surplus Insolation Over A Consecutive 14-day Period
INSOL_CONSEC_21,Surplus Insolation Over A Consecutive 21-day Period
INSOL_CONSEC_03,Surplus Insolation Over A Consecutive 3-day Period
INSOL_CONSEC_07,Surplus Insolation Over A Consecutive 7-day Period
INSOL_CONSEC_MONTH,Surplus Insolation Over A Month Period
T10M,Temperature at 10 Meters
T10M_MAX,Temperature at 10 Meters Maximum
T10M_MAX_AVG,Temperature at 10 Meters Maximum Average
T10M_MIN,Temperature at 10 Meters Minimum
T10M_MIN_AVG,Temperature at 10 Meters Minimum Average
T10M_RANGE,Temperature at 10 Meters Range
T10M_RANGE_AVG,Temperature at 10 Meters Range Average
T2M,Temperature at 2 Meters
T2M_MAX,Temperature at 2 Meters Maximum
T2M_MAX_AVG,Temperature at 2 Meters Maximum Average
T2M_MIN,Temperature at 2 Meters Minimum
T2M_MIN_AVG,Temperature at 2 Meters Minimum Average
T2M_RANGE,Temperature at 2 Meters Range
T2M_RANGE_AVG,Temperature at 2 Meters Range Average
TOA_SW_DNI,Top-Of-Atmosphere Shortwave Direct Normal Radiation
TOA_SW_DNI_MAX,Top-Of-Atmosphere Shortwave Direct Normal Radiation Maximum
TOA_SW_DNI_MIN,Top-Of-Atmosphere Shortwave Direct Normal Radiation Minimum
TOA_SW_DNI_SD,Top-Of-Atmosphere Shortwave Direct Normal Radiation Standard Deviation
TOA_SW_DWN,Top-Of-Atmosphere Shortwave Downward Irradiance
TOA_SW_DWN_MAX,Top-Of-Atmosphere Shortwave Downward Irradiance Maximum
TOA_SW_DWN_MIN,Top-Of-Atmosphere Shortwave Downward Irradiance Minimum
TOA_SW_DWN_SD,Top-Of-Atmosphere Shortwave Downward Irradiance Standard Deviation
TO3,Total Column Ozone
TQV,Total Column Precipitable Water
TROPPB,Tropopause Pressure based on blended estimate.
TROPQ,Tropopause Specific Humidity using blended TROPP estimate.
TROPT,Tropopause Temperature using blended TROPP estimate.
T2MWET,Wet Bulb Temperature at 2 Meters
WD10M,Wind Direction at 10 Meters
WD2M,Wind Direction at 2 Meters
WD50M,Wind Direction at 50 Meters
WS10M,Wind Speed at 10 Meters
WS10M_MAX,Wind Speed at 10 Meters Maximum
WS10M_MAX_AVG,Wind Speed at 10 Meters Maximum Average
WS10M_MIN,Wind Speed at 10 Meters Minimum
WS10M_MIN_AVG,Wind Speed at 10 Meters Minimum Average
WS10M_RANGE,Wind Speed at 10 Meters Range
WS10M_RANGE_AVG,Wind Speed at 10 Meters Range Average
WS2M,Wind Speed at 2 Meters
WS2M_MAX,Wind Speed at 2 Meters Maximum
WS2M_MAX_AVG,Wind Speed at 2 Meters Maximum Average
WS2M_MIN,Wind Speed at 2 Meters Minimum
WS2M_MIN_AVG,Wind Speed at 2 Meters Minimum Average
WS2M_RANGE,Wind Speed at 2 Meters Range
WS2M_RANGE_AVG,Wind Speed at 2 Meters Range Average
WS50M,Wind Speed at 50 Meters
WS50M_MAX,Wind Speed at 50 Meters Maximum
WS50M_MAX_AVG,Wind Speed at 50 Meters Maximum Average
WS50M_MIN,Wind Speed at 50 Meters Minimum
WS50M_MIN_AVG,Wind Speed at 50 Meters Minimum Average
WS50M_RANGE,Wind Speed at 50 Meters Range
WS50M_RANGE_AVG,Wind Speed at 50 Meters Range Average
ZENITH_LUMINANCE,Zenith luminance
DISPH,Zero Plane Displacement Height
PRECIPITATIONCAL,precipitation Calibrated
