Region,TIME,Value,region_code
Abruzzo,2006,6092446,1
Abruzzo,2007,5549500,1
Abruzzo,2008,6084491,1
Abruzzo,2009,4710823,1
Abruzzo,2010,5915949,1
Abruzzo,2011,5511926,1
Abruzzo,2012,5640901,1
Abruzzo,2013,5570913,1
Abruzzo,2014,5663911,1
Abruzzo,2015,5652796,1
Abruzzo,2016,5601197,1
Abruzzo,2017,5588505,1
Abruzzo,2018,5331300,1
Abruzzo,2019,5484675,1
Abruzzo,2020,5525690,1
Abruzzo,2021,7239373,1
Abruzzo,2022,7340386,1
Basilicata,2006,5347248,3
Basilicata,2007,5535231,3
Basilicata,2008,5522084,3
Basilicata,2009,3604460,3
Basilicata,2010,4469665,3
Basilicata,2011,4571991,3
Basilicata,2012,4739612,3
Basilicata,2013,4732934,3
Basilicata,2014,4736872,3
Basilicata,2015,4686787,3
Basilicata,2016,4705940,3
Basilicata,2017,4269720,3
Basilicata,2018,4339762,3
Basilicata,2019,4305124,3
Basilicata,2020,4305124,3
Basilicata,2021,5229584,3
Basilicata,2022,5352405,3
Calabria,2006,4182966,4
Calabria,2007,4057093,4
Calabria,2008,3828425,4
Calabria,2009,2831335,4
Calabria,2010,2573958,4
Calabria,2011,2414335,4
Calabria,2012,3298407,4
Calabria,2013,3151055,4
Calabria,2014,3221440,4
Calabria,2015,3225531,4
Calabria,2016,3195108,4
Calabria,2017,3057587,4
Calabria,2018,3068013,4
Calabria,2019,3135549,4
Calabria,2020,3201612,4
Calabria,2021,3968603,4
Calabria,2022,4036252,4
Campania,2006,8088692,5
Campania,2007,6466016,5
Campania,2008,8036261,5
Campania,2009,7037330,5
Campania,2010,6638511,5
Campania,2011,6948957,5
Campania,2012,7475709,5
Campania,2013,6841234,5
Campania,2014,5590034,5
Campania,2015,6590733,5
Campania,2016,6757542,5
Campania,2017,6315957,5
Campania,2018,6509236,5
Campania,2019,6220939,5
Campania,2020,6899803,5
Campania,2021,7837186,5
Campania,2022,7871324,5
Emilia-Romagna,2006,45773492,6
Emilia-Romagna,2007,45151340,6
Emilia-Romagna,2008,48328780,6
Emilia-Romagna,2009,42616669,6
Emilia-Romagna,2010,43786313,6
Emilia-Romagna,2011,43563554,6
Emilia-Romagna,2012,38122882,6
Emilia-Romagna,2013,36872483,6
Emilia-Romagna,2014,47356799,6
Emilia-Romagna,2015,37307429,6
Emilia-Romagna,2016,40458442,6
Emilia-Romagna,2017,39118031,6
Emilia-Romagna,2018,36204982,6
Emilia-Romagna,2019,34232036,6
Emilia-Romagna,2020,35085196,6
Emilia-Romagna,2021,47078852,6
Emilia-Romagna,2022,31918512,6
Friuli-Venezia Giulia,2006,11203122,7
Friuli-Venezia Giulia,2007,12064406,7
Friuli-Venezia Giulia,2008,10196693,7
Friuli-Venezia Giulia,2009,7313098,7
Friuli-Venezia Giulia,2010,8059963,7
Friuli-Venezia Giulia,2011,9280907,7
Friuli-Venezia Giulia,2012,9656363,7
Friuli-Venezia Giulia,2013,9157421,7
Friuli-Venezia Giulia,2014,7806233,7
Friuli-Venezia Giulia,2015,7796131,7
Friuli-Venezia Giulia,2016,7477904,7
Friuli-Venezia Giulia,2017,7183551,7
Friuli-Venezia Giulia,2018,6842343,7
Friuli-Venezia Giulia,2019,6844471,7
Friuli-Venezia Giulia,2020,5950309,7
Friuli-Venezia Giulia,2021,5345807,7
Friuli-Venezia Giulia,2022,6782640,7
Lazio,2006,5577598,8
Lazio,2007,5629074,8
Lazio,2008,5466763,8
Lazio,2009,4783845,8
Lazio,2010,5085005,8
Lazio,2011,5237748,8
Lazio,2012,4681078,8
Lazio,2013,4232530,8
Lazio,2014,4162685,8
Lazio,2015,3859453,8
Lazio,2016,4226434,8
Lazio,2017,3407634,8
Lazio,2018,4146912,8
Lazio,2019,4020892,8
Lazio,2020,3990791,8
Lazio,2021,5486905,8
Lazio,2022,5287939,8
Liguria,2006,152812,9
Liguria,2007,151161,9
Liguria,2008,148872,9
Liguria,2009,245465,9
Liguria,2010,130305,9
Liguria,2011,109230,9
Liguria,2012,170487,9
Liguria,2013,106425,9
Liguria,2014,103471,9
Liguria,2015,107295,9
Liguria,2016,102253,9
Liguria,2017,3836893,9
Liguria,2018,88837,9
Liguria,2019,119877,9
Liguria,2020,121805,9
Liguria,2021,128714,9
Liguria,2022,163722,9
Lombardia,2006,46554498,10
Lombardia,2007,44698650,10
Lombardia,2008,47371412,10
Lombardia,2009,43275504,10
Lombardia,2010,42791329,10
Lombardia,2011,41490926,10
Lombardia,2012,37061354,10
Lombardia,2013,29823573,10
Lombardia,2014,36709270,10
Lombardia,2015,29191314,10
Lombardia,2016,32329910,10
Lombardia,2017,30957986,10
Lombardia,2018,30434674,10
Lombardia,2019,28727772,10
Lombardia,2020,30018687,10
Lombardia,2021,34260812,10
Lombardia,2022,26097016,10
Marche,2006,15932973,11
Marche,2007,13509764,11
Marche,2008,10059843,11
Marche,2009,9480119,11
Marche,2010,8448546,11
Marche,2011,8106709,11
Marche,2012,9058693,11
Marche,2013,7086277,11
Marche,2014,7137038,11
Marche,2015,7330962,11
Marche,2016,7381739,11
Marche,2017,6630429,11
Marche,2018,6777205,11
Marche,2019,6592566,11
Marche,2020,6734400,11
Marche,2021,8342193,11
Marche,2022,6967088,11
Massa-Carrara,2006,137060,0
Massa-Carrara,2007,138010,0
Massa-Carrara,2008,130560,0
Massa-Carrara,2009,123051,0
Massa-Carrara,2010,173735,0
Massa-Carrara,2011,173387,0
Massa-Carrara,2012,173385,0
Massa-Carrara,2013,130471,0
Massa-Carrara,2014,137861,0
Massa-Carrara,2015,80418,0
Massa-Carrara,2016,19857,0
Massa-Carrara,2017,18953,0
Massa-Carrara,2018,18202,0
Massa-Carrara,2019,17095,0
Massa-Carrara,2020,15412,0
Massa-Carrara,2021,17890,0
Massa-Carrara,2022,15825,0
Molise,2006,3598577,12
Molise,2007,3245721,12
Molise,2008,3344521,12
Molise,2009,1848559,12
Molise,2010,2235232,12
Molise,2011,2442401,12
Molise,2012,2176815,12
Molise,2013,2226382,12
Molise,2014,2207378,12
Molise,2015,2272353,12
Molise,2016,2134540,12
Molise,2017,2454654,12
Molise,2018,2496735,12
Molise,2019,2519405,12
Molise,2020,2692395,12
Molise,2021,2655195,12
Molise,2022,2900820,12
Piemonte,2006,31259379,13
Piemonte,2007,31451844,13
Piemonte,2008,31978408,13
Piemonte,2009,27216507,13
Piemonte,2010,27737190,13
Piemonte,2011,29470734,13
Piemonte,2012,34011628,13
Piemonte,2013,32490430,13
Piemonte,2014,34094106,13
Piemonte,2015,29114892,13
Piemonte,2016,29875421,13
Piemonte,2017,27201653,13
Piemonte,2018,26891975,13
Piemonte,2019,28875430,13
Piemonte,2020,29897726,13
Piemonte,2021,33993634,13
Piemonte,2022,21717578,13
Puglia,2006,17377708,2
Puglia,2007,14166147,2
Puglia,2008,17254068,2
Puglia,2009,11657477,2
Puglia,2010,13110239,2
Puglia,2011,13572023,2
Puglia,2012,11126150,2
Puglia,2013,15401253,2
Puglia,2014,15046216,2
Puglia,2015,12051812,2
Puglia,2016,15352996,2
Puglia,2017,11370690,2
Puglia,2018,11789840,2
Puglia,2019,12118610,2
Puglia,2020,11904809,2
Puglia,2021,12909363,2
Puglia,2022,9951740,2
Sardegna,2006,1824994,14
Sardegna,2007,1847505,14
Sardegna,2008,1751143,14
Sardegna,2009,1078327,14
Sardegna,2010,639327,14
Sardegna,2011,937233,14
Sardegna,2012,749026,14
Sardegna,2013,900556,14
Sardegna,2014,944403,14
Sardegna,2015,1172182,14
Sardegna,2016,1160605,14
Sardegna,2017,983430,14
Sardegna,2018,1921745,14
Sardegna,2019,1823013,14
Sardegna,2020,1656780,14
Sardegna,2021,2335591,14
Sardegna,2022,2067731,14
Sardinia,2006,1085119,14
Sardinia,2007,1105002,14
Sardinia,2008,1506844,14
Sardinia,2009,763065,14
Sardinia,2010,1015410,14
Sardinia,2011,930230,14
Sardinia,2012,889069,14
Sardinia,2013,976012,14
Sardinia,2014,1051041,14
Sardinia,2015,1383549,14
Sardinia,2016,1435809,14
Sardinia,2017,1241530,14
Sardinia,2018,16841,14
Sardinia,2019,13056,14
Sardinia,2020,9535,14
Sardinia,2021,13209,14
Sardinia,2022,19426,14
Sicilia,2006,10610513,15
Sicilia,2007,11521915,15
Sicilia,2008,12282993,15
Sicilia,2009,9464665,15
Sicilia,2010,11222898,15
Sicilia,2011,10832465,15
Sicilia,2012,11211980,15
Sicilia,2013,9797508,15
Sicilia,2014,10001206,15
Sicilia,2015,10248178,15
Sicilia,2016,10036005,15
Sicilia,2017,10231829,15
Sicilia,2018,9776254,15
Sicilia,2019,9550148,15
Sicilia,2020,9699052,15
Sicilia,2021,10065863,15
Sicilia,2022,10648511,15
Toscana,2006,7584550,16
Toscana,2007,7989180,16
Toscana,2008,9822844,16
Toscana,2009,6630601,16
Toscana,2010,6915887,16
Toscana,2011,6533809,16
Toscana,2012,7193837,16
Toscana,2013,5809515,16
Toscana,2014,6746088,16
Toscana,2015,6335025,16
Toscana,2016,6524703,16
Toscana,2017,5316997,16
Toscana,2018,5978232,16
Toscana,2019,5608863,16
Toscana,2020,5819820,16
Toscana,2021,6329072,16
Toscana,2022,7370259,16
Trentino-Alto Adige,2006,447304,17
Trentino-Alto Adige,2007,468216,17
Trentino-Alto Adige,2008,433930,17
Trentino-Alto Adige,2009,205826,17
Trentino-Alto Adige,2010,448650,17
Trentino-Alto Adige,2011,474506,17
Trentino-Alto Adige,2012,422650,17
Trentino-Alto Adige,2013,363590,17
Trentino-Alto Adige,2014,374586,17
Trentino-Alto Adige,2015,205730,17
Trentino-Alto Adige,2016,381610,17
Trentino-Alto Adige,2017,400410,17
Trentino-Alto Adige,2018,389430,17
Trentino-Alto Adige,2019,337366,17
Trentino-Alto Adige,2020,397206,17
Trentino-Alto Adige,2021,406560,17
Trentino-Alto Adige,2022,395790,17
Umbria,2006,6597392,18
Umbria,2007,7324109,18
Umbria,2008,7476269,18
Umbria,2009,7652846,18
Umbria,2010,7142629,18
Umbria,2011,7197992,18
Umbria,2012,7420024,18
Umbria,2013,7141318,18
Umbria,2014,6986662,18
Umbria,2015,6983710,18
Umbria,2016,4203654,18
Umbria,2017,3834005,18
Umbria,2018,4884785,18
Umbria,2019,5322076,18
Umbria,2020,4727080,18
Umbria,2021,4713200,18
Umbria,2022,5895300,18
Valle d'Aosta,2006,23720,19
Valle d'Aosta,2007,23568,19
Valle d'Aosta,2008,23424,19
Valle d'Aosta,2009,25620,19
Valle d'Aosta,2010,25590,19
Valle d'Aosta,2011,23665,19
Valle d'Aosta,2012,21545,19
Valle d'Aosta,2013,21390,19
Valle d'Aosta,2014,30820,19
Valle d'Aosta,2015,36870,19
Valle d'Aosta,2016,33670,19
Valle d'Aosta,2017,34050,19
Valle d'Aosta,2018,32870,19
Valle d'Aosta,2019,34410,19
Valle d'Aosta,2020,30175,19
Valle d'Aosta,2021,26350,19
Valle d'Aosta,2022,21360,19
Veneto,2006,39859746,20
Veneto,2007,47716752,20
Veneto,2008,41778651,20
Veneto,2009,40211112,20
Veneto,2010,39402278,20
Veneto,2011,38305415,20
Veneto,2012,32136682,20
Veneto,2013,35127772,20
Veneto,2014,46993884,20
Veneto,2015,32448046,20
Veneto,2016,34270923,20
Veneto,2017,31330509,20
Veneto,2018,29476715,20
Veneto,2019,28631594,20
Veneto,2020,33666059,20
Veneto,2021,39488709,20
Veneto,2022,30392139,20
