Region,TIME,Value,region_code
Abruzzo,2006,1406773.0,1
Abruzzo,2007,1119263.0,1
Abruzzo,2008,1428740.0,1
Abruzzo,2009,1246140.0,1
Abruzzo,2010,1255100.0,1
Abruzzo,2011,1269950.0,1
Abruzzo,2012,1241764.0,1
Abruzzo,2013,1279326.0,1
Abruzzo,2014,682423.0,1
Abruzzo,2015,1210804.0,1
Abruzzo,2016,804824.0,1
Abruzzo,2017,1605360.0,1
Abruzzo,2018,1209600.0,1
Abruzzo,2019,1238500.0,1
Abruzzo,2020,1239000.0,1
Abruzzo,2021,1239500.0,1
Basilicata,2006,359506.0,3
Basilicata,2007,349503.0,3
Basilicata,2008,364516.0,3
Basilicata,2009,357500.0,3
Basilicata,2010,368000.0,3
Basilicata,2011,362800.0,3
Basilicata,2012,317040.0,3
Basilicata,2013,339450.0,3
Basilicata,2014,326877.0,3
Basilicata,2015,332436.0,3
Basilicata,2016,332317.0,3
Basilicata,2017,329200.0,3
Basilicata,2018,289864.0,3
Basilicata,2019,289864.0,3
Basilicata,2020,289864.0,3
Basilicata,2021,289864.0,3
Calabria,2006,10196812.0,4
Calabria,2007,10818477.0,4
Calabria,2008,10428938.0,4
Calabria,2009,8937489.0,4
Calabria,2010,8196988.0,4
Calabria,2011,9103922.0,4
Calabria,2012,7206936.0,4
Calabria,2013,5568835.0,4
Calabria,2014,4466975.0,4
Calabria,2015,5646586.0,4
Calabria,2016,4155375.0,4
Calabria,2017,6305043.0,4
Calabria,2018,3938253.0,4
Calabria,2019,5486374.0,4
Calabria,2020,4569262.0,4
Calabria,2021,5344599.0,4
Campania,2006,1865334.0,5
Campania,2007,2153876.0,5
Campania,2008,2552901.0,5
Campania,2009,2532597.0,5
Campania,2010,2444455.0,5
Campania,2011,2447214.0,5
Campania,2012,2619439.0,5
Campania,2013,2390469.0,5
Campania,2014,846473.0,5
Campania,2015,2711674.0,5
Campania,2016,585802.0,5
Campania,2017,1988796.0,5
Campania,2018,1068573.0,5
Campania,2019,1652080.0,5
Campania,2020,1430630.0,5
Campania,2021,1341329.0,5
Emilia-Romagna,2006,56907.0,6
Emilia-Romagna,2007,46735.0,6
Emilia-Romagna,2008,72342.0,6
Emilia-Romagna,2009,74918.0,6
Emilia-Romagna,2010,56567.0,6
Emilia-Romagna,2011,54035.0,6
Emilia-Romagna,2012,46281.0,6
Emilia-Romagna,2013,59840.0,6
Emilia-Romagna,2014,32553.0,6
Emilia-Romagna,2015,71019.0,6
Emilia-Romagna,2016,53618.0,6
Emilia-Romagna,2017,56815.0,6
Emilia-Romagna,2018,74060.0,6
Emilia-Romagna,2019,35827.0,6
Emilia-Romagna,2020,92111.0,6
Emilia-Romagna,2021,59905.0,6
Friuli-Venezia Giulia,2006,2285.0,7
Friuli-Venezia Giulia,2007,2050.0,7
Friuli-Venezia Giulia,2008,2050.0,7
Friuli-Venezia Giulia,2009,2337.0,7
Friuli-Venezia Giulia,2010,1847.0,7
Friuli-Venezia Giulia,2011,1835.0,7
Friuli-Venezia Giulia,2013,1895.0,7
Friuli-Venezia Giulia,2014,2094.0,7
Friuli-Venezia Giulia,2015,8890.0,7
Friuli-Venezia Giulia,2016,13860.0,7
Friuli-Venezia Giulia,2017,11193.0,7
Friuli-Venezia Giulia,2018,14770.0,7
Friuli-Venezia Giulia,2019,14770.0,7
Friuli-Venezia Giulia,2020,9303.0,7
Friuli-Venezia Giulia,2021,1138.0,7
Lazio,2006,1681618.0,8
Lazio,2007,1364491.0,8
Lazio,2008,2184843.0,8
Lazio,2009,1583715.0,8
Lazio,2010,1797650.0,8
Lazio,2011,1293179.0,8
Lazio,2012,1501680.0,8
Lazio,2013,1184180.0,8
Lazio,2014,606910.0,8
Lazio,2015,1652700.0,8
Lazio,2016,1410500.0,8
Lazio,2017,1190700.0,8
Lazio,2018,1114300.0,8
Lazio,2019,1447929.0,8
Lazio,2020,1054480.0,8
Lazio,2021,1271090.0,8
Liguria,2006,211906.0,9
Liguria,2007,152696.0,9
Liguria,2008,194570.0,9
Liguria,2009,228120.0,9
Liguria,2010,202480.0,9
Liguria,2011,187500.0,9
Liguria,2012,302500.0,9
Liguria,2013,307280.0,9
Liguria,2014,102800.0,9
Liguria,2015,205500.0,9
Liguria,2016,182200.0,9
Liguria,2017,189520.0,9
Liguria,2018,189170.0,9
Liguria,2019,174400.0,9
Liguria,2020,180740.0,9
Liguria,2021,165870.0,9
Lombardia,2006,45439.0,10
Lombardia,2007,54161.0,10
Lombardia,2008,49758.0,10
Lombardia,2009,60226.0,10
Lombardia,2010,60651.0,10
Lombardia,2011,45199.0,10
Lombardia,2012,45357.0,10
Lombardia,2013,57243.0,10
Lombardia,2014,20020.0,10
Lombardia,2015,51363.0,10
Lombardia,2016,51492.0,10
Lombardia,2017,43302.0,10
Lombardia,2018,69538.0,10
Lombardia,2019,7185.0,10
Lombardia,2020,57629.0,10
Lombardia,2021,11503.0,10
Marche,2006,256736.0,11
Marche,2007,261189.0,11
Marche,2008,323148.0,11
Marche,2009,249618.0,11
Marche,2010,291170.0,11
Marche,2011,274700.0,11
Marche,2012,292437.0,11
Marche,2013,262309.0,11
Marche,2014,112765.0,11
Marche,2015,238875.0,11
Marche,2016,238646.0,11
Marche,2017,190078.0,11
Marche,2018,232101.0,11
Marche,2019,232101.0,11
Marche,2020,232101.0,11
Marche,2021,232101.0,11
Massa-Carrara,2006,10124.0,0
Massa-Carrara,2007,10394.0,0
Massa-Carrara,2008,10169.0,0
Massa-Carrara,2009,12270.0,0
Massa-Carrara,2010,10720.0,0
Massa-Carrara,2011,10240.0,0
Massa-Carrara,2013,10470.0,0
Massa-Carrara,2014,10614.0,0
Massa-Carrara,2015,12400.0,0
Massa-Carrara,2016,10980.0,0
Massa-Carrara,2017,19544.0,0
Massa-Carrara,2018,19500.0,0
Massa-Carrara,2019,11500.0,0
Massa-Carrara,2020,12500.0,0
Massa-Carrara,2021,8900.0,0
Molise,2006,458550.0,12
Molise,2007,366728.0,12
Molise,2008,366728.0,12
Molise,2009,457500.0,12
Molise,2010,402000.0,12
Molise,2011,364728.0,12
Molise,2012,365728.0,12
Molise,2013,365728.0,12
Molise,2014,365728.0,12
Molise,2015,688950.0,12
Molise,2016,688950.0,12
Molise,2017,571400.0,12
Molise,2018,571400.0,12
Molise,2019,574000.0,12
Molise,2020,574000.0,12
Molise,2021,627130.0,12
Piemonte,2006,437.0,13
Piemonte,2007,889.0,13
Piemonte,2008,658.0,13
Piemonte,2009,832.0,13
Piemonte,2010,733.0,13
Piemonte,2011,745.0,13
Piemonte,2012,906.0,13
Piemonte,2013,1290.0,13
Piemonte,2014,1109.0,13
Piemonte,2015,1887.0,13
Piemonte,2016,1930.0,13
Piemonte,2017,1921.0,13
Piemonte,2018,1220.0,13
Piemonte,2019,968.0,13
Piemonte,2020,1442.0,13
Piemonte,2021,1266.0,13
Puglia,2006,11988125.0,2
Puglia,2007,10501447.0,2
Puglia,2008,10700440.0,2
Puglia,2009,9438740.0,2
Puglia,2010,10053610.0,2
Puglia,2011,10887675.0,2
Puglia,2012,10765600.0,2
Puglia,2013,11705450.0,2
Puglia,2014,7844600.0,2
Puglia,2015,12265750.0,2
Puglia,2016,7005000.0,2
Puglia,2017,8383897.0,2
Puglia,2018,5421000.0,2
Puglia,2019,5426000.0,2
Puglia,2020,5736000.0,2
Puglia,2021,5998000.0,2
Sardegna,2006,342362.0,14
Sardegna,2007,331725.0,14
Sardegna,2008,345027.0,14
Sardegna,2009,275269.0,14
Sardegna,2010,261200.0,14
Sardegna,2011,159620.0,14
Sardegna,2013,205510.0,14
Sardegna,2014,214830.0,14
Sardegna,2015,225616.0,14
Sardegna,2016,97000.0,14
Sardegna,2017,170595.0,14
Sardegna,2018,301112.0,14
Sardegna,2019,301112.0,14
Sardegna,2020,344153.0,14
Sardegna,2021,368128.0,14
Sardinia,2006,127000.0,14
Sardinia,2007,131256.0,14
Sardinia,2008,208462.0,14
Sardinia,2009,148615.0,14
Sardinia,2010,145520.0,14
Sardinia,2011,87032.0,14
Sardinia,2013,127169.0,14
Sardinia,2014,135756.0,14
Sardinia,2015,202866.0,14
Sardinia,2016,74390.0,14
Sardinia,2017,795.0,14
Sardinia,2018,2288.0,14
Sardinia,2019,2288.0,14
Sardinia,2020,577.0,14
Sardinia,2021,1222.0,14
Sicilia,2006,2320732.0,15
Sicilia,2007,2673485.0,15
Sicilia,2008,2816584.0,15
Sicilia,2009,2772489.0,15
Sicilia,2010,2939569.0,15
Sicilia,2011,2829512.0,15
Sicilia,2012,2921335.0,15
Sicilia,2013,3017893.0,15
Sicilia,2014,1898965.0,15
Sicilia,2015,2716502.0,15
Sicilia,2016,2287010.0,15
Sicilia,2017,2912655.0,15
Sicilia,2018,2421678.0,15
Sicilia,2019,2880680.0,15
Sicilia,2020,3220896.0,15
Sicilia,2021,3431226.0,15
Toscana,2006,1235457.0,16
Toscana,2007,922555.0,16
Toscana,2008,1222964.0,16
Toscana,2009,1312214.0,16
Toscana,2010,1279688.0,16
Toscana,2011,1053015.0,16
Toscana,2012,477070.0,16
Toscana,2013,1155877.0,16
Toscana,2014,497339.0,16
Toscana,2015,994451.0,16
Toscana,2016,919378.0,16
Toscana,2017,897138.0,16
Toscana,2018,1191880.0,16
Toscana,2019,736640.0,16
Toscana,2020,1138973.0,16
Toscana,2021,567183.0,16
Umbria,2006,877718.0,18
Umbria,2007,596425.0,18
Umbria,2008,677420.0,18
Umbria,2009,532151.0,18
Umbria,2010,624117.0,18
Umbria,2011,402849.0,18
Umbria,2012,293177.0,18
Umbria,2013,433450.0,18
Umbria,2014,223442.0,18
Umbria,2015,518255.0,18
Umbria,2016,451325.0,18
Umbria,2017,450350.0,18
Umbria,2018,474888.0,18
Umbria,2019,603840.0,18
Umbria,2020,803840.0,18
Umbria,2021,827000.0,18
Valle d'Aosta,2021,40.0,19
Veneto,2006,86833.0,20
Veneto,2007,70823.0,20
Veneto,2008,76719.0,20
Veneto,2009,77223.0,20
Veneto,2010,73012.0,20
Veneto,2011,77730.0,20
Veneto,2012,42270.0,20
Veneto,2013,36473.0,20
Veneto,2014,127540.0,20
Veneto,2015,182066.0,20
Veneto,2016,218539.0,20
Veneto,2017,110726.0,20
Veneto,2018,257285.0,20
Veneto,2019,37263.0,20
Veneto,2020,246062.0,20
Veneto,2021,24759.0,20
