Region,TIME,Value,region_code
Abruzzo,2006,660924,1
Abruzzo,2007,632730,1
Abruzzo,2008,702614,1
Abruzzo,2009,710790,1
Abruzzo,2010,694259,1
Abruzzo,2011,694573,1
Abruzzo,2012,731327,1
Abruzzo,2013,710588,1
Abruzzo,2014,644202,1
Abruzzo,2015,690969,1
Abruzzo,2016,672990,1
Abruzzo,2017,671284,1
Abruzzo,2018,677672,1
Abruzzo,2019,668437,1
Abruzzo,2020,828017,1
Abruzzo,2021,1153492,1
Abruzzo,2022,1041360,1
Basilicata,2006,1854168,3
Basilicata,2007,1647599,3
Basilicata,2008,1812665,3
Basilicata,2009,1798508,3
Basilicata,2010,1964319,3
Basilicata,2011,1973522,3
Basilicata,2012,1880291,3
Basilicata,2013,1690725,3
Basilicata,2014,1711795,3
Basilicata,2015,1745882,3
Basilicata,2016,1682291,3
Basilicata,2017,1596721,3
Basilicata,2018,1585943,3
Basilicata,2019,1658513,3
Basilicata,2020,2506101,3
Basilicata,2021,3913426,3
Basilicata,2022,3214552,3
Calabria,2006,6205661,4
Calabria,2007,6527172,4
Calabria,2008,6555402,4
Calabria,2009,7422128,4
Calabria,2010,7041980,4
Calabria,2011,7078002,4
Calabria,2012,7384367,4
Calabria,2013,5655042,4
Calabria,2014,5357298,4
Calabria,2015,6500060,4
Calabria,2016,5970246,4
Calabria,2017,6478123,4
Calabria,2018,4773906,4
Calabria,2019,6786129,4
Calabria,2020,10515259,4
Calabria,2021,22483175,4
Calabria,2022,11891317,4
Campania,2006,7224814,5
Campania,2007,7610386,5
Campania,2008,7258387,5
Campania,2009,7471498,5
Campania,2010,7426231,5
Campania,2011,7738608,5
Campania,2012,7431464,5
Campania,2013,6863609,5
Campania,2014,5806775,5
Campania,2015,7300369,5
Campania,2016,7467119,5
Campania,2017,5935995,5
Campania,2018,5374828,5
Campania,2019,7323352,5
Campania,2020,8958210,5
Campania,2021,13269787,5
Campania,2022,12717114,5
Emilia-Romagna,2006,15542081,6
Emilia-Romagna,2007,14237496,6
Emilia-Romagna,2008,13181165,6
Emilia-Romagna,2009,15077726,6
Emilia-Romagna,2010,13188378,6
Emilia-Romagna,2011,15646299,6
Emilia-Romagna,2012,11660061,6
Emilia-Romagna,2013,12530197,6
Emilia-Romagna,2014,13329042,6
Emilia-Romagna,2015,12903178,6
Emilia-Romagna,2016,12013707,6
Emilia-Romagna,2017,13030384,6
Emilia-Romagna,2018,11883009,6
Emilia-Romagna,2019,9757911,6
Emilia-Romagna,2020,13179838,6
Emilia-Romagna,2021,9975872,6
Emilia-Romagna,2022,15953303,6
