Region,TIME,Value,region_code
Abruzzo,2006,5525484,1
Abruzzo,2007,5044682,1
Abruzzo,2008,5692082,1
Abruzzo,2009,5693706,1
Abruzzo,2010,5597503,1
Abruzzo,2011,5648320,1
Abruzzo,2012,5561982,1
Abruzzo,2013,5705364,1
Abruzzo,2014,5962804,1
Abruzzo,2015,6281557,1
Abruzzo,2016,5986447,1
Abruzzo,2017,5752833,1
Abruzzo,2018,5762400,1
Abruzzo,2019,5833224,1
Abruzzo,2020,5799134,1
Abruzzo,2021,5787682,1
Abruzzo,2022,5555167,1
Basilicata,2006,3733749,3
Basilicata,2007,4134619,3
Basilicata,2008,3666111,3
Basilicata,2009,4098476,3
Basilicata,2010,4044564,3
Basilicata,2011,3994545,3
Basilicata,2012,1789469,3
Basilicata,2013,3379673,3
Basilicata,2014,3316522,3
Basilicata,2015,3292911,3
Basilicata,2016,3331403,3
Basilicata,2017,3314124,3
Basilicata,2018,3310720,3
Basilicata,2019,3268544,3
Basilicata,2020,3180233,3
Basilicata,2021,3195801,3
Basilicata,2022,2709579,3
Calabria,2006,7754699,4
Calabria,2007,8105625,4
Calabria,2008,5554540,4
Calabria,2009,6005738,4
Calabria,2010,5902098,4
Calabria,2011,5973568,4
Calabria,2012,5423528,4
Calabria,2013,5086446,4
Calabria,2014,5310294,4
Calabria,2015,5157143,4
Calabria,2016,5417861,4
Calabria,2017,5378368,4
Calabria,2018,5419498,4
Calabria,2019,5510864,4
Calabria,2020,5602383,4
Calabria,2021,5532776,4
Calabria,2022,5185801,4
Campania,2006,13072799,5
Campania,2007,13054609,5
Campania,2008,13223049,5
Campania,2009,15964907,5
Campania,2010,13656175,5
Campania,2011,14429539,5
Campania,2012,14230663,5
Campania,2013,13580679,5
Campania,2014,13930984,5
Campania,2015,14025283,5
Campania,2016,13583352,5
Campania,2017,12636948,5
Campania,2018,12869970,5
Campania,2019,12996198,5
Campania,2020,12902937,5
Campania,2021,15874652,5
Campania,2022,7979705,5
Emilia-Romagna,2006,21641449,6
Emilia-Romagna,2007,21312769,6
Emilia-Romagna,2008,21342267,6
Emilia-Romagna,2009,26715078,6
Emilia-Romagna,2010,22783277,6
Emilia-Romagna,2011,24537337,6
Emilia-Romagna,2012,21721094,6
Emilia-Romagna,2013,19633130,6
Emilia-Romagna,2014,22946131,6
Emilia-Romagna,2015,23803556,6
Emilia-Romagna,2016,27198828,6
Emilia-Romagna,2017,24778509,6
Emilia-Romagna,2018,23177866,6
Emilia-Romagna,2019,23060211,6
Emilia-Romagna,2020,25941720,6
Emilia-Romagna,2021,28393645,6
Emilia-Romagna,2022,21975412,6
Friuli-Venezia Giulia,2006,111427,7
Friuli-Venezia Giulia,2007,828582,7
Friuli-Venezia Giulia,2008,5225,7
Friuli-Venezia Giulia,2009,27085,7
Friuli-Venezia Giulia,2010,42009,7
Friuli-Venezia Giulia,2011,182257,7
Friuli-Venezia Giulia,2012,11202,7
Friuli-Venezia Giulia,2013,144194,7
Friuli-Venezia Giulia,2014,146021,7
Friuli-Venezia Giulia,2015,105278,7
Friuli-Venezia Giulia,2016,97785,7
Friuli-Venezia Giulia,2017,103392,7
Friuli-Venezia Giulia,2018,99748,7
Friuli-Venezia Giulia,2019,105918,7
Friuli-Venezia Giulia,2020,64301,7
Friuli-Venezia Giulia,2021,93257,7
Friuli-Venezia Giulia,2022,31754,7
Lazio,2006,8961943,8
Lazio,2007,8888237,8
Lazio,2008,9111828,8
Lazio,2009,8995546,8
Lazio,2010,9422646,8
Lazio,2011,9562500,8
Lazio,2012,8755343,8
Lazio,2013,9366098,8
Lazio,2014,8452425,8
Lazio,2015,9068040,8
Lazio,2016,9284678,8
Lazio,2017,9156479,8
Lazio,2018,10285680,8
Lazio,2019,11210817,8
Lazio,2020,11569490,8
Lazio,2021,13271992,8
Lazio,2022,5069458,8
Liguria,2006,339128,9
Liguria,2007,332723,9
Liguria,2008,288300,9
Liguria,2009,335914,9
Liguria,2010,235225,9
Liguria,2011,229528,9
Liguria,2012,236980,9
Liguria,2013,290543,9
Liguria,2014,276293,9
Liguria,2015,235156,9
Liguria,2016,228930,9
Liguria,2017,225889,9
Liguria,2018,214051,9
Liguria,2019,211566,9
Liguria,2020,184295,9
Liguria,2021,176794,9
Liguria,2022,218537,9
Lombardia,2006,5952782,10
Lombardia,2007,6022313,10
Lombardia,2008,6889700,10
Lombardia,2009,7988576,10
Lombardia,2010,8326162,10
Lombardia,2011,7849583,10
Lombardia,2012,6997584,10
Lombardia,2013,5828341,10
Lombardia,2014,7221307,10
Lombardia,2015,8292796,10
Lombardia,2016,8603257,10
Lombardia,2017,8352734,10
Lombardia,2018,8408337,10
Lombardia,2019,7984262,10
Lombardia,2020,9726610,10
Lombardia,2021,9786103,10
Lombardia,2022,7412105,10
Marche,2006,3019905,11
Marche,2007,3054215,11
Marche,2008,3047447,11
Marche,2009,2302691,11
Marche,2010,2314950,11
Marche,2011,1984299,11
Marche,2012,1512988,11
Marche,2013,1269657,11
Marche,2014,1232205,11
Marche,2015,1219063,11
Marche,2016,1221231,11
Marche,2017,1216411,11
Marche,2018,1231174,11
Marche,2019,1180979,11
Marche,2020,1151075,11
Marche,2021,1166179,11
Marche,2022,614839,11
Massa-Carrara,2006,131053,0
Massa-Carrara,2007,131442,0
Massa-Carrara,2008,132464,0
Massa-Carrara,2009,131984,0
Massa-Carrara,2010,141778,0
Massa-Carrara,2011,143467,0
Massa-Carrara,2012,132154,0
Massa-Carrara,2013,138508,0
Massa-Carrara,2014,143766,0
Massa-Carrara,2015,143677,0
Massa-Carrara,2016,110567,0
Massa-Carrara,2017,103605,0
Massa-Carrara,2018,79006,0
Massa-Carrara,2019,72816,0
Massa-Carrara,2020,71417,0
Massa-Carrara,2021,64336,0
Massa-Carrara,2022,41025,0
Molise,2006,1056685,12
Molise,2007,926675,12
Molise,2008,843127,12
Molise,2009,1002925,12
Molise,2010,942659,12
Molise,2011,948448,12
Molise,2012,1025125,12
Molise,2013,1010935,12
Molise,2014,749535,12
Molise,2015,963530,12
Molise,2016,982670,12
Molise,2017,1087415,12
Molise,2018,1202735,12
Molise,2019,1690360,12
Molise,2020,1676470,12
Molise,2021,1679725,12
Molise,2022,1500295,12
Piemonte,2006,2808686,13
Piemonte,2007,2724519,13
Piemonte,2008,2766460,13
Piemonte,2009,2874343,13
Piemonte,2010,2830796,13
Piemonte,2011,2721814,13
Piemonte,2012,1855514,13
Piemonte,2013,2606035,13
Piemonte,2014,2540333,13
Piemonte,2015,2530786,13
Piemonte,2016,2538388,13
Piemonte,2017,2519958,13
Piemonte,2018,2511605,13
Piemonte,2019,3399554,13
Piemonte,2020,3002164,13
Piemonte,2021,3097888,13
Piemonte,2022,2297505,13
Puglia,2006,29710782,2
Puglia,2007,29613152,2
Puglia,2008,26621925,2
Puglia,2009,30792127,2
Puglia,2010,25953086,2
Puglia,2011,28228599,2
Puglia,2012,27444497,2
Puglia,2013,26704462,2
Puglia,2014,26035407,2
Puglia,2015,32023448,2
Puglia,2016,30838618,2
Puglia,2017,29595729,2
Puglia,2018,29229490,2
Puglia,2019,28352590,2
Puglia,2020,28181731,2
Puglia,2021,28369260,2
Puglia,2022,24858165,2
Sardegna,2006,1626318,14
Sardegna,2007,1636376,14
Sardegna,2008,1898709,14
Sardegna,2009,1642858,14
Sardegna,2010,1580575,14
Sardegna,2011,1621043,14
Sardegna,2012,468499,14
Sardegna,2013,1607065,14
Sardegna,2014,1615589,14
Sardegna,2015,1308590,14
Sardegna,2016,1409091,14
Sardegna,2017,2125352,14
Sardegna,2018,3555774,14
Sardegna,2019,3216579,14
Sardegna,2020,2798887,14
Sardegna,2021,2885825,14
Sardegna,2022,2269632,14
Sardinia,2006,2458986,14
Sardinia,2007,2459386,14
Sardinia,2008,2051876,14
Sardinia,2009,2080939,14
Sardinia,2010,2617158,14
Sardinia,2011,2715262,14
Sardinia,2012,915472,14
Sardinia,2013,2689163,14
Sardinia,2014,2725354,14
Sardinia,2015,1943440,14
Sardinia,2016,2199330,14
Sardinia,2017,1233187,14
Sardinia,2018,34459,14
Sardinia,2019,31175,14
Sardinia,2020,25477,14
Sardinia,2021,29468,14
Sardinia,2022,20808,14
Sicilia,2006,16803025,15
Sicilia,2007,16660201,15
Sicilia,2008,16278343,15
Sicilia,2009,13942720,15
Sicilia,2010,12942454,15
Sicilia,2011,14207674,15
Sicilia,2012,13613904,15
Sicilia,2013,13644633,15
Sicilia,2014,13469271,15
Sicilia,2015,12491813,15
Sicilia,2016,12118871,15
Sicilia,2017,12081999,15
Sicilia,2018,12090892,15
Sicilia,2019,12489051,15
Sicilia,2020,12483476,15
Sicilia,2021,15138114,15
Sicilia,2022,10092524,15
Toscana,2006,2663879,16
Toscana,2007,3166007,16
Toscana,2008,3363055,16
Toscana,2009,3062025,16
Toscana,2010,2926503,16
Toscana,2011,3295158,16
Toscana,2012,2436143,16
Toscana,2013,2429305,16
Toscana,2014,2960711,16
Toscana,2015,2781878,16
Toscana,2016,2557651,16
Toscana,2017,2055262,16
Toscana,2018,2134069,16
Toscana,2019,1901584,16
Toscana,2020,1860615,16
Toscana,2021,2690864,16
Toscana,2022,1990908,16
Trentino-Alto Adige,2006,187337,17
Trentino-Alto Adige,2007,193058,17
Trentino-Alto Adige,2008,165616,17
Trentino-Alto Adige,2009,183275,17
Trentino-Alto Adige,2010,176785,17
Trentino-Alto Adige,2011,155196,17
Trentino-Alto Adige,2012,123769,17
Trentino-Alto Adige,2013,142483,17
Trentino-Alto Adige,2014,158559,17
Trentino-Alto Adige,2015,157465,17
Trentino-Alto Adige,2016,152528,17
Trentino-Alto Adige,2017,150307,17
Trentino-Alto Adige,2018,167366,17
Trentino-Alto Adige,2019,163604,17
Trentino-Alto Adige,2020,160221,17
Trentino-Alto Adige,2021,117009,17
Trentino-Alto Adige,2022,142366,17
Umbria,2006,1075910,18
Umbria,2007,1048073,18
Umbria,2008,1669120,18
