year,run_number,time_idx,RMSE,ME,RMSE_GP,ME_GP
2019,1,32,8.865509018353787,5.072481286035825,7.786933520577535,-0.28655168278133986
2019,2,32,7.866987938182906,2.446535058217506,7.944039357188004,-0.11162797070994666
