COD_REG,COD_UTS,pred_err
1,6,-30.534273147583008
11,42,-15.494462966918945
9,51,1.882568359375
11,44,-18.6639461517334
1,5,-5.80082893371582
15,64,2.356386184692383
16,110,6.621501922607422
15,62,-4.198356628417969
3,16,-23.333703994750977
1,96,-8.749946594238281
8,237,-22.040653228759766
3,17,-14.045221328735352
20,292,0.5713443756103516
19,85,0.3088531494140625
14,70,-6.85291862487793
15,61,-4.76573371887207
18,79,-2.9184417724609375
13,69,-3.6154651641845703
3,13,-12.117431640625
3,19,-11.390518188476562
18,101,3.6395645141601562
1,4,-26.996318817138672
19,86,0.35066986083984375
11,109,-14.569437026977539
8,38,-19.72004508972168
9,248,3.2226314544677734
16,71,-1.804931640625
12,60,6.254055023193359
14,94,-6.336889266967773
16,75,11.392568588256836
9,49,-4.584964752197266
3,98,-26.401260375976562
9,46,-12.222150802612305
11,43,-12.875604629516602
3,20,-14.516834259033203
17,77,0.07682609558105469
19,283,5.215902328491211
3,215,-22.224409103393555
3,108,-15.929338455200195
1,3,-26.382055282592773
5,28,-16.48186492919922
19,282,1.887542724609375
8,34,-23.563081741333008
3,18,-19.097034454345703
10,54,-19.485851287841797
11,41,-7.977144241333008
8,33,-18.52185821533203
9,50,2.348257064819336
9,47,-2.3857574462890625
6,93,-11.485315322875977
17,76,0.6431617736816406
9,100,-25.156665802001953
8,39,-33.68787384033203
12,57,2.3959827423095703
8,99,-15.267110824584961
5,29,-16.713411331176758
15,65,-1.8542728424072266
9,52,-7.820825576782227
3,14,-9.595008850097656
20,111,0.0612335205078125
16,73,-2.117431640625
13,67,-11.203561782836914
10,55,-10.643560409545898
1,201,-22.30790901184082
4,22,-11.372411727905273
5,26,-12.694347381591797
6,30,-12.589075088500977
5,227,-13.978538513183594
1,2,-25.641565322875977
5,23,-16.94187355041504
18,102,6.374988555908203
5,24,-17.224117279052734
12,56,-9.651512145996094
