,0,1,2
0,,,
1,1.0,6.0,-30.534273147583008
2,11.0,42.0,-15.494462966918945
3,9.0,51.0,1.882568359375
4,11.0,44.0,-18.6639461517334
5,1.0,5.0,-5.80082893371582
6,15.0,64.0,2.356386184692383
7,16.0,110.0,6.621501922607422
8,15.0,62.0,-4.198356628417969
9,3.0,16.0,-23.333703994750977
10,1.0,96.0,-8.749946594238281
11,8.0,237.0,-22.040653228759766
12,3.0,17.0,-14.045221328735352
13,20.0,292.0,0.5713443756103516
14,19.0,85.0,0.3088531494140625
15,14.0,70.0,-6.85291862487793
16,15.0,61.0,-4.76573371887207
17,18.0,79.0,-2.9184417724609375
18,13.0,69.0,-3.6154651641845703
19,3.0,13.0,-12.117431640625
20,3.0,19.0,-11.390518188476562
21,18.0,101.0,3.6395645141601562
22,1.0,4.0,-26.996318817138672
23,19.0,86.0,0.35066986083984375
24,11.0,109.0,-14.569437026977539
25,8.0,38.0,-19.72004508972168
26,9.0,248.0,3.2226314544677734
27,16.0,71.0,-1.804931640625
28,12.0,60.0,6.254055023193359
29,14.0,94.0,-6.336889266967773
30,16.0,75.0,11.392568588256836
31,9.0,49.0,-4.584964752197266
32,3.0,98.0,-26.401260375976562
33,9.0,46.0,-12.222150802612305
34,11.0,43.0,-12.875604629516602
35,3.0,20.0,-14.516834259033203
36,17.0,77.0,0.07682609558105469
37,19.0,283.0,5.215902328491211
38,3.0,215.0,-22.224409103393555
39,3.0,108.0,-15.929338455200195
40,1.0,3.0,-26.382055282592773
41,5.0,28.0,-16.48186492919922
42,19.0,282.0,1.887542724609375
43,8.0,34.0,-23.563081741333008
44,3.0,18.0,-19.097034454345703
45,10.0,54.0,-19.485851287841797
46,11.0,41.0,-7.977144241333008
47,8.0,33.0,-18.52185821533203
48,9.0,50.0,2.348257064819336
49,9.0,47.0,-2.3857574462890625
50,6.0,93.0,-11.485315322875977
51,17.0,76.0,0.6431617736816406
52,9.0,100.0,-25.156665802001953
53,8.0,39.0,-33.68787384033203
54,12.0,57.0,2.3959827423095703
55,8.0,99.0,-15.267110824584961
56,5.0,29.0,-16.713411331176758
57,15.0,65.0,-1.8542728424072266
58,9.0,52.0,-7.820825576782227
59,3.0,14.0,-9.595008850097656
60,20.0,111.0,0.0612335205078125
61,16.0,73.0,-2.117431640625
62,13.0,67.0,-11.203561782836914
63,10.0,55.0,-10.643560409545898
64,1.0,201.0,-22.30790901184082
65,4.0,22.0,-11.372411727905273
66,5.0,26.0,-12.694347381591797
67,6.0,30.0,-12.589075088500977
68,5.0,227.0,-13.978538513183594
69,1.0,2.0,-25.641565322875977
70,5.0,23.0,-16.94187355041504
71,18.0,102.0,6.374988555908203
72,5.0,24.0,-17.224117279052734
73,12.0,56.0,-9.651512145996094
