"ITTER107","Territory","TIPO_DATO5","Data type","AGRI_MADRE","Type of crop","TIME","Select time","Value","Flag Codes","Flags"
"ITC16","Cuneo","TP_QUIN_EXT","total production - quintals ","PARSNGREEN","parsley in greenhouses","2020","2020",350,,
"ITC16","Cuneo","HP_Q_EXT","harvested production - quintals ","PARSNGREEN","parsley in greenhouses","2020","2020",350,,
"ITC16","Cuneo","ART_ARE","total area - ares","PARSNGREEN","parsley in greenhouses","2020","2020",155,,
"ITC31","Imperia","TP_QUIN_EXT","total production - quintals ","PARSNGREEN","parsley in greenhouses","2021","2021",125,,
"ITC31","Imperia","HP_Q_EXT","harvested production - quintals ","PARSNGREEN","parsley in greenhouses","2021","2021",110,,
"ITC31","Imperia","ART_ARE","total area - ares","PARSNGREEN","parsley in greenhouses","2021","2021",50,,
"ITC41","Varese","TP_QUIN_EXT","total production - quintals ","PARSNGREEN","parsley in greenhouses","2020","2020",5,,
"ITC41","Varese","HP_Q_EXT","harvested production - quintals ","PARSNGREEN","parsley in greenhouses","2020","2020",5,,
"ITC41","Varese","ART_ARE","total area - ares","PARSNGREEN","parsley in greenhouses","2020","2020",5,,
"ITC43","Lecco","TP_QUIN_EXT","total production - quintals ","PARSNGREEN","parsley in greenhouses","2020","2020",300,,
"ITC43","Lecco","HP_Q_EXT","harvested production - quintals ","PARSNGREEN","parsley in greenhouses","2020","2020",300,,
"ITC43","Lecco","ART_ARE","total area - ares","PARSNGREEN","parsley in greenhouses","2020","2020",120,,
"ITC45","Milano","TP_QUIN_EXT","total production - quintals ","PARSNGREEN","parsley in greenhouses","2020","2020",580,,
"ITC45","Milano","TP_QUIN_EXT","total production - quintals ","PARSNGREEN","parsley in greenhouses","2021","2021",500,,
"ITC45","Milano","HP_Q_EXT","harvested production - quintals ","PARSNGREEN","parsley in greenhouses","2020","2020",580,,
"ITC45","Milano","HP_Q_EXT","harvested production - quintals ","PARSNGREEN","parsley in greenhouses","2021","2021",500,,
"ITC45","Milano","ART_ARE","total area - ares","PARSNGREEN","parsley in greenhouses","2020","2020",200,,
"ITC45","Milano","ART_ARE","total area - ares","PARSNGREEN","parsley in greenhouses","2021","2021",200,,
"ITC47","Brescia","TP_QUIN_EXT","total production - quintals ","PARSNGREEN","parsley in greenhouses","2020","2020",1250,,
"ITC47","Brescia","TP_QUIN_EXT","total production - quintals ","PARSNGREEN","parsley in greenhouses","2021","2021",1250,,
"ITC47","Brescia","HP_Q_EXT","harvested production - quintals ","PARSNGREEN","parsley in greenhouses","2020","2020",1250,,
"ITC47","Brescia","HP_Q_EXT","harvested production - quintals ","PARSNGREEN","parsley in greenhouses","2021","2021",1250,,
"ITC47","Brescia","ART_ARE","total area - ares","PARSNGREEN","parsley in greenhouses","2020","2020",500,,
"ITC47","Brescia","ART_ARE","total area - ares","PARSNGREEN","parsley in greenhouses","2021","2021",500,,
"ITC4A","Cremona","TP_QUIN_EXT","total production - quintals ","PARSNGREEN","parsley in greenhouses","2020","2020",200,,
"ITC4A","Cremona","TP_QUIN_EXT","total production - quintals ","PARSNGREEN","parsley in greenhouses","2021","2021",200,,
"ITC4A","Cremona","HP_Q_EXT","harvested production - quintals ","PARSNGREEN","parsley in greenhouses","2020","2020",200,,
"ITC4A","Cremona","HP_Q_EXT","harvested production - quintals ","PARSNGREEN","parsley in greenhouses","2021","2021",200,,
"ITC4A","Cremona","ART_ARE","total area - ares","PARSNGREEN","parsley in greenhouses","2020","2020",100,,
"ITC4A","Cremona","ART_ARE","total area - ares","PARSNGREEN","parsley in greenhouses","2021","2021",100,,
"ITC4B","Mantova","TP_QUIN_EXT","total production - quintals ","PARSNGREEN","parsley in greenhouses","2020","2020",50,,
"ITC4B","Mantova","TP_QUIN_EXT","total production - quintals ","PARSNGREEN","parsley in greenhouses","2021","2021",50,,
"ITC4B","Mantova","HP_Q_EXT","harvested production - quintals ","PARSNGREEN","parsley in greenhouses","2020","2020",50,,
"ITC4B","Mantova","HP_Q_EXT","harvested production - quintals ","PARSNGREEN","parsley in greenhouses","2021","2021",50,,
"ITC4B","Mantova","ART_ARE","total area - ares","PARSNGREEN","parsley in greenhouses","2020","2020",20,,
"ITC4B","Mantova","ART_ARE","total area - ares","PARSNGREEN","parsley in greenhouses","2021","2021",20,,
"ITD31","Verona","TP_QUIN_EXT","total production - quintals ","PARSNGREEN","parsley in greenhouses","2020","2020",9515,,
"ITD31","Verona","TP_QUIN_EXT","total production - quintals ","PARSNGREEN","parsley in greenhouses","2021","2021",250,,
"ITD31","Verona","HP_Q_EXT","harvested production - quintals ","PARSNGREEN","parsley in greenhouses","2020","2020",9325,,
"ITD31","Verona","HP_Q_EXT","harvested production - quintals ","PARSNGREEN","parsley in greenhouses","2021","2021",245,,
"ITD31","Verona","ART_ARE","total area - ares","PARSNGREEN","parsley in greenhouses","2020","2020",3130,,
"ITD31","Verona","ART_ARE","total area - ares","PARSNGREEN","parsley in greenhouses","2021","2021",70,,
"ITD35","Venezia","TP_QUIN_EXT","total production - quintals ","PARSNGREEN","parsley in greenhouses","2020","2020",29,,
"ITD35","Venezia","TP_QUIN_EXT","total production - quintals ","PARSNGREEN","parsley in greenhouses","2021","2021",232,,
"ITD35","Venezia","HP_Q_EXT","harvested production - quintals ","PARSNGREEN","parsley in greenhouses","2020","2020",28,,
"ITD35","Venezia","HP_Q_EXT","harvested production - quintals ","PARSNGREEN","parsley in greenhouses","2021","2021",229,,
"ITD35","Venezia","ART_ARE","total area - ares","PARSNGREEN","parsley in greenhouses","2020","2020",10,,
"ITD35","Venezia","ART_ARE","total area - ares","PARSNGREEN","parsley in greenhouses","2021","2021",80,,
"ITD36","Padova","TP_QUIN_EXT","total production - quintals ","PARSNGREEN","parsley in greenhouses","2020","2020",30,,
"ITD36","Padova","HP_Q_EXT","harvested production - quintals ","PARSNGREEN","parsley in greenhouses","2020","2020",29,,
"ITD36","Padova","ART_ARE","total area - ares","PARSNGREEN","parsley in greenhouses","2020","2020",10,,
