"ITTER107","Territory","TIPO_DATO5","Data type","AGRI_MADRE","Type of crop","TIME","Select time","Value","Flag Codes","Flags"
"ITC16","Cuneo","TP_QUIN_EXT","total production - quintals ","RADIINGRE","chicory and radicchio in greenhouses","2020","2020",850,,
"ITC16","Cuneo","HP_Q_EXT","harvested production - quintals ","RADIINGRE","chicory and radicchio in greenhouses","2020","2020",850,,
"ITC16","Cuneo","ART_ARE","total area - ares","RADIINGRE","chicory and radicchio in greenhouses","2020","2020",360,,
"ITC17","Asti","TP_QUIN_EXT","total production - quintals ","RADIINGRE","chicory and radicchio in greenhouses","2020","2020",870,,
"ITC17","Asti","HP_Q_EXT","harvested production - quintals ","RADIINGRE","chicory and radicchio in greenhouses","2020","2020",870,,
"ITC17","Asti","ART_ARE","total area - ares","RADIINGRE","chicory and radicchio in greenhouses","2020","2020",330,,
"ITC34","La Spezia","TP_QUIN_EXT","total production - quintals ","RADIINGRE","chicory and radicchio in greenhouses","2020","2020",600,,
"ITC34","La Spezia","TP_QUIN_EXT","total production - quintals ","RADIINGRE","chicory and radicchio in greenhouses","2021","2021",600,,
"ITC34","La Spezia","HP_Q_EXT","harvested production - quintals ","RADIINGRE","chicory and radicchio in greenhouses","2020","2020",600,,
"ITC34","La Spezia","HP_Q_EXT","harvested production - quintals ","RADIINGRE","chicory and radicchio in greenhouses","2021","2021",600,,
"ITC34","La Spezia","ART_ARE","total area - ares","RADIINGRE","chicory and radicchio in greenhouses","2020","2020",200,,
"ITC34","La Spezia","ART_ARE","total area - ares","RADIINGRE","chicory and radicchio in greenhouses","2021","2021",200,,
"ITC41","Varese","TP_QUIN_EXT","total production - quintals ","RADIINGRE","chicory and radicchio in greenhouses","2020","2020",30,,
"ITC41","Varese","TP_QUIN_EXT","total production - quintals ","RADIINGRE","chicory and radicchio in greenhouses","2021","2021",150,,
"ITC41","Varese","HP_Q_EXT","harvested production - quintals ","RADIINGRE","chicory and radicchio in greenhouses","2020","2020",30,,
