"ITTER107","Territory","TIPO_DATO5","Data type","AGRI_MADRE","Type of crop","TIME","Select time","Value","Flag Codes","Flags"
"ITC16","Cuneo","TP_QUIN_EXT","total production - quintals ","PARSNGREEN","parsley in greenhouses","2006","2006",750,"e","estimate data"
"ITC16","Cuneo","TP_QUIN_EXT","total production - quintals ","PARSNGREEN","parsley in greenhouses","2007","2007",780,,
"ITC16","Cuneo","TP_QUIN_EXT","total production - quintals ","PARSNGREEN","parsley in greenhouses","2008","2008",810,,
"ITC16","Cuneo","TP_QUIN_EXT","total production - quintals ","PARSNGREEN","parsley in greenhouses","2009","2009",773,"e","estimate data"
"ITC16","Cuneo","TP_QUIN_EXT","total production - quintals ","PARSNGREEN","parsley in greenhouses","2010","2010",788,"e","estimate data"
"ITC16","Cuneo","TP_QUIN_EXT","total production - quintals ","PARSNGREEN","parsley in greenhouses","2011","2011",788,"e","estimate data"
"ITC16","Cuneo","TP_QUIN_EXT","total production - quintals ","PARSNGREEN","parsley in greenhouses","2012","2012",783,"e","estimate data"
"ITC16","Cuneo","TP_QUIN_EXT","total production - quintals ","PARSNGREEN","parsley in greenhouses","2013","2013",600,,
"ITC16","Cuneo","TP_QUIN_EXT","total production - quintals ","PARSNGREEN","parsley in greenhouses","2014","2014",430,,
"ITC16","Cuneo","TP_QUIN_EXT","total production - quintals ","PARSNGREEN","parsley in greenhouses","2015","2015",336,,
"ITC16","Cuneo","TP_QUIN_EXT","total production - quintals ","PARSNGREEN","parsley in greenhouses","2016","2016",285,,
"ITC16","Cuneo","TP_QUIN_EXT","total production - quintals ","PARSNGREEN","parsley in greenhouses","2017","2017",295,"e","estimate data"
"ITC16","Cuneo","TP_QUIN_EXT","total production - quintals ","PARSNGREEN","parsley in greenhouses","2018","2018",337,,
"ITC16","Cuneo","TP_QUIN_EXT","total production - quintals ","PARSNGREEN","parsley in greenhouses","2019","2019",350,,
"ITC16","Cuneo","TP_QUIN_EXT","total production - quintals ","PARSNGREEN","parsley in greenhouses","2020","2020",350,,
"ITC16","Cuneo","HP_Q_EXT","harvested production - quintals ","PARSNGREEN","parsley in greenhouses","2006","2006",750,"e","estimate data"
"ITC16","Cuneo","HP_Q_EXT","harvested production - quintals ","PARSNGREEN","parsley in greenhouses","2007","2007",780,,
"ITC16","Cuneo","HP_Q_EXT","harvested production - quintals ","PARSNGREEN","parsley in greenhouses","2008","2008",810,,
"ITC16","Cuneo","HP_Q_EXT","harvested production - quintals ","PARSNGREEN","parsley in greenhouses","2009","2009",773,"e","estimate data"
"ITC16","Cuneo","HP_Q_EXT","harvested production - quintals ","PARSNGREEN","parsley in greenhouses","2010","2010",788,"e","estimate data"
"ITC16","Cuneo","HP_Q_EXT","harvested production - quintals ","PARSNGREEN","parsley in greenhouses","2011","2011",788,"e","estimate data"
"ITC16","Cuneo","HP_Q_EXT","harvested production - quintals ","PARSNGREEN","parsley in greenhouses","2012","2012",783,"e","estimate data"
